proposed_key,ulb_name,district,mepma_ulb_id,cdma_ulb_code,lgd_district_codes,lgd_mandal_codes,lgd_local_body_code,spellings_found,spellings,datasets,review_flags
MEPMA-119,NARSAPUR,WEST GODAVARI,119,1077,523,1077,,3,"""West Godavari District"" / Narsapur | ""West Godavari"" / NARASAPUR | ""West Godavari"" / Narsapur | WEST GODAVARI / NARSAPUR | West Godavari / NARASAPUR | West Godavari / Narsapur | West Godavari District / Narsapur",14,
MEPMA-121,PALAKOL,WEST GODAVARI,121,1079,523,1079,,3,"""West Godavari District"" / Palacole | ""West Godavari"" / PALACOLE | ""West Godavari"" / Palacole | WEST GODAVARI / PALAKOL | West Godavari / PALACOLE | West Godavari / PALAKOL | West Godavari / Palacole | West Godavari District / Palacole",14,
MEPMA-122,TADEPALLIGUDEM,WEST GODAVARI,122,1080,523,1080;4961,,2,"""West Godavari District"" / Tadepalligudem | ""West Godavari"" / TADEPALLIGUDEM | ""West Godavari"" / Tadepalligudem | WEST GODAVARI / TADEPALLIGUDEM | West Godavari / TADEPALLIGUDEM | West Godavari / Tadepalligudem | West Godavari District / Tadepalligudem",15,"several mandal codes (A3, C1)"
MEPMA-123,TANUKU,WEST GODAVARI,123,1081,523,1081;4972,,2,"""West Godavari District"" / Tanuku | ""West Godavari"" / TANUKU | ""West Godavari"" / Tanuku | WEST GODAVARI / TANUKU | West Godavari / TANUKU | West Godavari / Tanuku | West Godavari District / Tanuku",15,"several mandal codes (A3, C1)"
MEPMA-44,BADVEL,YSR,44,1123,504,1123;5210,,2,"""YSR Kadapa"" / BADVEL | ""YSR Kadapa"" / Badvel | Kadapa / Badvel | YSR / BADVEL | YSR Kadapa / BADVEL | YSR Kadapa / Badvel",14,"several mandal codes (A3, C1)"
MEPMA-45,JAMMULAAMADUGU,YSR,45,1124,504,1124;5215,,3,"""YSR Kadapa"" / JAMMALAMADUGU | ""YSR Kadapa"" / Jammalamadugu | Kadapa / Jammalamadugu | YSR / JAMMULAAMADUGU | YSR Kadapa / JAMMALAMADUGU | YSR Kadapa / Jammalamadugu",17,"several mandal codes (A3, C1)"
MEPMA-46,KADAPA,YSR,46,1013,504,1013,,2,"""YSR Kadapa"" / KADAPA | ""YSR Kadapa"" / Kadapa | Kadapa / Kadapa | YSR / KADAPA | YSR Kadapa / KADAPA | YSR Kadapa / Kadapa",15,
MEPMA-205,KAMALAPURAM,YSR,205,1181,504,1181;5224,,2,"""YSR Kadapa"" / KAMALAPURAM | ""YSR Kadapa"" / Kamalapuram | Kadapa / Kamalapuram | YSR / KAMALAPURAM | YSR Kadapa / KAMALAPURAM | YSR Kadapa / Kamalapuram",12,"several mandal codes (A3, C1)"
MEPMA-186,MYDUKUR,YSR,186,1164,504,1164;5204,,2,"""YSR Kadapa"" / MYDUKUR | ""YSR Kadapa"" / Mydukur | Kadapa / Mydukur | YSR / MYDUKUR | YSR Kadapa / MYDUKUR | YSR Kadapa / Mydukur",15,"several mandal codes (A3, C1)"
MEPMA-47,PRODDATUR,YSR,47,1014,504,1014;5214,,2,"""YSR Kadapa"" / PRODDATUR | ""YSR Kadapa"" / Proddatur | Kadapa / Proddatur | YSR / PRODDATUR | YSR Kadapa / PRODDATUR | YSR Kadapa / Proddatur",14,"several mandal codes (A3, C1)"
MEPMA-48,PULIVENDULA,YSR,48,1122,504,1122;5219,,2,"""YSR Kadapa"" / PULIVENDULA | ""YSR Kadapa"" / Pulivendula | Kadapa / Pulivendula | YSR / PULIVENDULA | YSR Kadapa / PULIVENDULA | YSR Kadapa / Pulivendula",16,"several mandal codes (A3, C1)"
MEPMA-49,RAJAMPET,YSR,49,1120,504,1120;5246,,4,"""YSR Kadapa"" / RAJAMPETA | Annamayya / Rajampet | YSR / RAJAMPET | YSR Kadapa / RAJAMPET | YSR Kadapa / RAJAMPETA | YSR Kadapa / Rajampeta",13,"several mandal codes (A3, C1); 4 spellings (A1)"
MEPMA-191,YERRAGUNTLA,YSR,191,1165,504,1165;5223,,2,"""YSR Kadapa"" / YERRAGUNTLA | ""YSR Kadapa"" / Yerraguntla | Kadapa / Yerraguntla | YSR / YERRAGUNTLA | YSR Kadapa / YERRAGUNTLA | YSR Kadapa / Yerraguntla",14,"several mandal codes (A3, C1)"
